,NODELIST,CPUS,MEMORY,AVAIL_FEATURES,PARTITION,TOTAL_NODES,TOTAL_CPUS,MEMORY[GB/node],MEMORY[GB/cpu],NODE(Example),NodeName,Arch,CpuBind,CoresPerSocket,CPUAlloc,CPUEfctv,CPUTot,CPULoad,AvailableFeatures,ActiveFeatures,Gres,NodeAddr,NodeHostName,Version,OS,RealMemory,AllocMem,FreeMem,Sockets,Boards,State,ThreadsPerCore,TmpDisk,Weight,Owner,MCS_label,Partitions,BootTime,SlurmdStartTime,LastBusyTime,ResumeAfterTime,CfgTRES,AllocTRES,CurrentWatts,AveWatts,IB,CPU_MNF,CPU_GEN,CPU_SKU,CPU_FRQ,CLASS,GPU_GEN,GPU_BRD,GPU_SKU,GPU_MEM,GPU_CC
10,sh04-01n16,64,4096000,"IB:NDR,CPU_MNF:INTEL,CPU_GEN:SPR,CPU_SKU:8462Y+,CPU_FRQ:2.80GHz,NO_GPU,CLASS:SH4_CBIGMEM",bigmem,1,64.0,4000.0,62.5,sh04-01n16,sh04-01n16,x86_64,cores,16,60,64,64,0.98,"IB:NDR,CPU_MNF:INTEL,CPU_GEN:SPR,CPU_SKU:8462Y+,CPU_FRQ:2.80GHz,NO_GPU,CLASS:SH4_CBIGMEM","IB:NDR,CPU_MNF:INTEL,CPU_GEN:SPR,CPU_SKU:8462Y+,CPU_FRQ:2.80GHz,NO_GPU,CLASS:SH4_CBIGMEM",(null),sh04-01n16,sh04-01n16,25.11.5,Linux,4096000,1753088,3907130,4,1,MIXED+PLANNED,1,7000000,109751,N/A,N/A,bigmem,2026-02-16T21:02:24,2026-04-30T09:13:15,2026-05-04T10:34:04,None,"cpu=64,mem=4000G,billing=1064","cpu=60,mem=1712G",488,466,NDR,INTEL,SPR,8462Y+,2.80GHz,SH4_CBIGMEM,,,,,
11,sh03-12n[18-19],128,1024000,"IB:HDR,CPU_MNF:AMD,CPU_GEN:RME,CPU_SKU:7742,CPU_FRQ:2.25GHz,NO_GPU,CLASS:SH3_CPERF",bigmem,2,256.0,1000.0,7.81,sh03-12n18,sh03-12n18,x86_64,cores,32,22,128,128,1.02,"IB:HDR,CPU_MNF:AMD,CPU_GEN:RME,CPU_SKU:7742,CPU_FRQ:2.25GHz,NO_GPU,CLASS:SH3_CPERF","IB:HDR,CPU_MNF:AMD,CPU_GEN:RME,CPU_SKU:7742,CPU_FRQ:2.25GHz,NO_GPU,CLASS:SH3_CPERF",(null),sh03-12n18,sh03-12n18,25.11.5,Linux,1024000,880640,837543,4,1,MIXED,1,3000000,107871,N/A,N/A,bigmem,2026-04-27T10:38:38,2026-04-30T09:13:15,2026-05-03T08:17:40,None,"cpu=128,mem=1000G,billing=378","cpu=22,mem=860G",373,343,HDR,AMD,RME,7742,2.25GHz,SH3_CPERF,,,,,
12,sh02-12n01,56,3072000,"IB:EDR,CPU_MNF:INTEL,CPU_GEN:BDW,CPU_SKU:E5-4650v4,CPU_FRQ:2.20GHz,NO_GPU",bigmem,1,56.0,3000.0,53.57,sh02-12n01,sh02-12n01,x86_64,cores,14,56,56,56,3.89,"IB:EDR,CPU_MNF:INTEL,CPU_GEN:BDW,CPU_SKU:E5-4650v4,CPU_FRQ:2.20GHz,NO_GPU","IB:EDR,CPU_MNF:INTEL,CPU_GEN:BDW,CPU_SKU:E5-4650v4,CPU_FRQ:2.20GHz,NO_GPU",(null),sh02-12n01,sh02-12n01,25.11.5,Linux,3072000,1769472,2618208,4,1,ALLOCATED,1,160000,109691,N/A,N/A,bigmem,2026-01-27T16:51:46,2026-04-30T09:13:14,2026-04-26T06:17:43,None,"cpu=56,mem=3000G,billing=806","cpu=56,mem=1728G",440,277,EDR,INTEL,BDW,E5-4650v4,2.20GHz,,,,,,
13,sh02-01n[57-58],20,128000,"IB:EDR,CPU_MNF:INTEL,CPU_GEN:BDW,CPU_SKU:E5-2640v4,CPU_FRQ:2.40GHz,NO_GPU",dev,2,40.0,125.0,6.25,sh02-01n57,sh02-01n57,x86_64,cores,10,18,20,20,2.21,"IB:EDR,CPU_MNF:INTEL,CPU_GEN:BDW,CPU_SKU:E5-2640v4,CPU_FRQ:2.40GHz,NO_GPU","IB:EDR,CPU_MNF:INTEL,CPU_GEN:BDW,CPU_SKU:E5-2640v4,CPU_FRQ:2.40GHz,NO_GPU",(null),sh02-01n57,sh02-01n57,25.11.5,Linux,128000,68096,34564,2,1,MIXED,1,120000,102091,N/A,N/A,dev,2026-04-08T20:18:44,2026-04-30T09:13:14,2026-05-04T04:34:39,None,"cpu=20,mem=125G,billing=51","cpu=18,mem=66.50G",106,53,EDR,INTEL,BDW,E5-2640v4,2.40GHz,,,,,,
14,sh03-17n[14-15],32,256000,"IB:HDR,CPU_MNF:AMD,CPU_GEN:MLN,CPU_SKU:7543P,CPU_FRQ:2.75GHz,GPU_GEN:AMP,GPU_BRD:TESLA,GPU_SKU:A30_M",dev,2,64.0,250.0,7.81,sh03-17n14,sh03-17n14,x86_64,cores,16,24,32,32,2.63,"IB:HDR,CPU_MNF:AMD,CPU_GEN:MLN,CPU_SKU:7543P,CPU_FRQ:2.75GHz,GPU_GEN:AMP,GPU_BRD:TESLA,GPU_SKU:A30_MIG-1g.6gb,GPU_MEM:6GB,GPU_CC:8.0,CLASS:SH3_G8FP64m","IB:HDR,CPU_MNF:AMD,CPU_GEN:MLN,CPU_SKU:7543P,CPU_FRQ:2.75GHz,GPU_GEN:AMP,GPU_BRD:TESLA,GPU_SKU:A30_MIG-1g.6gb,GPU_MEM:6GB,GPU_CC:8.0,CLASS:SH3_G8FP64m",gpu:32(S:0-1),sh03-17n14,sh03-17n14,25.11.5,Linux,256000,98304,77441,2,1,MIXED,1,3600000,164361,N/A,N/A,dev,2026-03-10T18:35:54,2026-04-30T09:13:17,2026-05-04T09:37:37,None,"cpu=32,mem=250G,billing=574,gres/gpu=32","cpu=24,mem=96G,gres/gpu=2",677,610,HDR,AMD,MLN,7543P,2.75GHz,SH3_G8FP64m,AMP,TESLA,A30_MIG-1g.6gb,6GB,8.0
15,sh03-13n[01-02],32,256000,"IB:HDR,CPU_MNF:AMD,CPU_GEN:RME,CPU_SKU:7502P,CPU_FRQ:2.50GHz,GPU_GEN:VLT,GPU_BRD:TESLA,GPU_SKU:V100S",gpu,2,64.0,250.0,7.81,sh03-13n01,sh03-13n01,x86_64,cores,16,28,32,32,8.62,"IB:HDR,CPU_MNF:AMD,CPU_GEN:RME,CPU_SKU:7502P,CPU_FRQ:2.50GHz,GPU_GEN:VLT,GPU_BRD:TESLA,GPU_SKU:V100S_PCIE,GPU_MEM:32GB,GPU_CC:7.0,CLASS:SH3_G4FP64","IB:HDR,CPU_MNF:AMD,CPU_GEN:RME,CPU_SKU:7502P,CPU_FRQ:2.50GHz,GPU_GEN:VLT,GPU_BRD:TESLA,GPU_SKU:V100S_PCIE,GPU_MEM:32GB,GPU_CC:7.0,CLASS:SH3_G4FP64",gpu:4(S:0-1),sh03-13n01,sh03-13n01,25.11.5,Linux,256000,200120,183325,2,1,MIXED+PLANNED,1,3600000,144371,N/A,N/A,gpu,2026-03-20T16:02:56,2026-04-30T09:13:15,2026-04-18T06:41:00,None,"cpu=32,mem=250G,billing=154,gres/gpu=4","cpu=28,mem=200120M,gres/gpu=4",1060,782,HDR,AMD,RME,7502P,2.50GHz,SH3_G4FP64,VLT,TESLA,V100S_PCIE,32GB,7.0
16,sh04-01n01,64,2048000,"IB:NDR,CPU_MNF:INTEL,CPU_GEN:SPR,CPU_SKU:8462Y+,CPU_FRQ:2.80GHz,GPU_GEN:HPR,GPU_BRD:TESLA,GPU_SKU:H1",gpu,1,64.0,2000.0,31.25,sh04-01n01,sh04-01n01,x86_64,cores,16,63,64,64,7.01,"IB:NDR,CPU_MNF:INTEL,CPU_GEN:SPR,CPU_SKU:8462Y+,CPU_FRQ:2.80GHz,GPU_GEN:HPR,GPU_BRD:TESLA,GPU_SKU:H100_SXM5,GPU_MEM:80GB,GPU_CC:9.0,CLASS:SH4_G8TF64","IB:NDR,CPU_MNF:INTEL,CPU_GEN:SPR,CPU_SKU:8462Y+,CPU_FRQ:2.80GHz,GPU_GEN:HPR,GPU_BRD:TESLA,GPU_SKU:H100_SXM5,GPU_MEM:80GB,GPU_CC:9.0,CLASS:SH4_G8TF64",gpu:8(S:0-3),sh04-01n01,sh04-01n01,25.11.5,Linux,2048000,753664,1253135,4,1,MIXED+PLANNED,1,28000000,168751,N/A,N/A,gpu,2026-03-15T10:27:17,2026-04-30T09:13:15,2026-05-02T00:51:15,None,"cpu=64,mem=2000G,billing=684,gres/gpu=8","cpu=63,mem=736G,gres/gpu=6",2153,1839,NDR,INTEL,SPR,8462Y+,2.80GHz,SH4_G8TF64,HPR,TESLA,H100_SXM5,80GB,9.0
17,sh02-12n04,20,256000,"IB:EDR,CPU_MNF:INTEL,CPU_GEN:BDW,CPU_SKU:E5-2640v4,CPU_FRQ:2.40GHz,GPU_GEN:PSC,GPU_BRD:TESLA,GPU_SKU",gpu,1,20.0,250.0,12.5,sh02-12n04,sh02-12n04,x86_64,cores,10,10,20,20,4.03,"IB:EDR,CPU_MNF:INTEL,CPU_GEN:BDW,CPU_SKU:E5-2640v4,CPU_FRQ:2.40GHz,GPU_GEN:PSC,GPU_BRD:TESLA,GPU_SKU:P100_PCIE,GPU_MEM:16GB,GPU_CC:6.0","IB:EDR,CPU_MNF:INTEL,CPU_GEN:BDW,CPU_SKU:E5-2640v4,CPU_FRQ:2.40GHz,GPU_GEN:PSC,GPU_BRD:TESLA,GPU_SKU:P100_PCIE,GPU_MEM:16GB,GPU_CC:6.0",gpu:4(S:0-1),sh02-12n04,sh02-12n04,25.11.5,Linux,256000,122880,142102,2,1,MIXED,1,160000,144091,N/A,N/A,gpu,2026-03-29T21:12:47,2026-04-30T09:13:14,2026-03-29T23:05:58,None,"cpu=20,mem=250G,billing=142,gres/gpu=4","cpu=10,mem=120G,gres/gpu=4",1056,417,EDR,INTEL,BDW,E5-2640v4,2.40GHz,,PSC,TESLA,P100_PCIE,16GB,6.0
18,"sh02-13n[10-11],sh02-14n[09-10,12-15]",20,512000,"IB:EDR,CPU_MNF:INTEL,CPU_GEN:BDW,CPU_SKU:E5-2640v4,CPU_FRQ:2.40GHz,GPU_GEN:PSC,GPU_BRD:GEFORCE,GPU_S",gpu,8,160.0,500.0,25.0,sh02-13n10,sh02-13n10,x86_64,cores,10,12,20,20,1.67,"IB:EDR,CPU_MNF:INTEL,CPU_GEN:BDW,CPU_SKU:E5-2640v4,CPU_FRQ:2.40GHz,GPU_GEN:PSC,GPU_BRD:GEFORCE,GPU_SKU:TITAN_Xp,GPU_MEM:12GB,GPU_CC:6.1","IB:EDR,CPU_MNF:INTEL,CPU_GEN:BDW,CPU_SKU:E5-2640v4,CPU_FRQ:2.40GHz,GPU_GEN:PSC,GPU_BRD:GEFORCE,GPU_SKU:TITAN_Xp,GPU_MEM:12GB,GPU_CC:6.1",gpu:4(S:0-1),sh02-13n10,sh02-13n10,25.11.5,Linux,512000,112816,440799,2,1,MIXED,1,200000,146091,N/A,N/A,gpu,2026-01-27T16:37:58,2026-04-30T09:13:14,2026-04-13T19:07:27,None,"cpu=20,mem=500G,billing=205,gres/gpu=4","cpu=12,mem=112816M,gres/gpu=4",812,418,EDR,INTEL,BDW,E5-2640v4,2.40GHz,,PSC,GEFORCE,TITAN_Xp,12GB,6.1
19,sh02-13n[12-13],20,256000,"IB:EDR,CPU_MNF:INTEL,CPU_GEN:BDW,CPU_SKU:E5-2640v4,CPU_FRQ:2.40GHz,GPU_GEN:VLT,GPU_BRD:TESLA,GPU_SKU",gpu,2,40.0,250.0,12.5,sh02-13n12,sh02-13n12,x86_64,cores,10,14,20,20,3.08,"IB:EDR,CPU_MNF:INTEL,CPU_GEN:BDW,CPU_SKU:E5-2640v4,CPU_FRQ:2.40GHz,GPU_GEN:VLT,GPU_BRD:TESLA,GPU_SKU:V100_SXM2,GPU_MEM:16GB,GPU_CC:7.0","IB:EDR,CPU_MNF:INTEL,CPU_GEN:BDW,CPU_SKU:E5-2640v4,CPU_FRQ:2.40GHz,GPU_GEN:VLT,GPU_BRD:TESLA,GPU_SKU:V100_SXM2,GPU_MEM:16GB,GPU_CC:7.0",gpu:4(S:0),sh02-13n12,sh02-13n12,25.11.5,Linux,256000,112582,174520,2,1,MIXED,1,160000,144091,N/A,N/A,gpu,2026-02-11T02:45:53,2026-04-30T09:13:14,2026-04-08T05:55:34,None,"cpu=20,mem=250G,billing=142,gres/gpu=4","cpu=14,mem=112582M,gres/gpu=4",774,646,EDR,INTEL,BDW,E5-2640v4,2.40GHz,,VLT,TESLA,V100_SXM2,16GB,7.0
