,NODELIST,CPUS,MEMORY,AVAIL_FEATURES,PARTITION,TOTAL_NODES,TOTAL_CPUS,MEMORY[GB/node],MEMORY[GB/cpu],NODE(Example),NodeName,Arch,CpuBind,CoresPerSocket,CPUAlloc,CPUEfctv,CPUTot,CPULoad,AvailableFeatures,ActiveFeatures,Gres,NodeAddr,NodeHostName,Version,OS,RealMemory,AllocMem,FreeMem,Sockets,Boards,State,ThreadsPerCore,TmpDisk,Weight,Owner,MCS_label,Partitions,BootTime,SlurmdStartTime,LastBusyTime,ResumeAfterTime,CfgTRES,AllocTRES,CurrentWatts,AveWatts,IB,CPU_MNF,CPU_GEN,CPU_SKU,CPU_FRQ,CLASS,GPU_GEN,GPU_BRD,GPU_SKU,GPU_MEM,GPU_CC
20,sh02-15n09,24,191000,"IB:EDR,CPU_MNF:INTEL,CPU_GEN:SKX,CPU_SKU:5118,CPU_FRQ:2.30GHz,GPU_GEN:VLT,GPU_BRD:TESLA,GPU_SKU:V100",gpu,1,24.0,186.5,7.77,sh02-15n09,sh02-15n09,x86_64,cores,12,18,24,24,2.39,"IB:EDR,CPU_MNF:INTEL,CPU_GEN:SKX,CPU_SKU:5118,CPU_FRQ:2.30GHz,GPU_GEN:VLT,GPU_BRD:TESLA,GPU_SKU:V100_SXM2,GPU_MEM:32GB,GPU_CC:7.0","IB:EDR,CPU_MNF:INTEL,CPU_GEN:SKX,CPU_SKU:5118,CPU_FRQ:2.30GHz,GPU_GEN:VLT,GPU_BRD:TESLA,GPU_SKU:V100_SXM2,GPU_MEM:32GB,GPU_CC:7.0",gpu:4(S:0),sh02-15n09,sh02-15n09,25.11.5,Linux,191000,161500,148330,2,1,MIXED,1,190000,143181,N/A,N/A,gpu,2026-02-11T02:23:36,2026-04-30T09:13:14,2026-04-12T17:39:58,None,"cpu=24,mem=191000M,billing=130,gres/gpu=4","cpu=18,mem=161500M,gres/gpu=4",976,455,EDR,INTEL,SKX,5118,2.30GHz,,VLT,TESLA,V100_SXM2,32GB,7.0
21,sh02-16n[05-06],24,191000,"IB:EDR,CPU_MNF:INTEL,CPU_GEN:SKX,CPU_SKU:5118,CPU_FRQ:2.30GHz,GPU_GEN:VLT,GPU_BRD:TESLA,GPU_SKU:V100",gpu,2,48.0,186.5,7.77,sh02-16n05,sh02-16n05,x86_64,cores,12,22,24,24,2.10,"IB:EDR,CPU_MNF:INTEL,CPU_GEN:SKX,CPU_SKU:5118,CPU_FRQ:2.30GHz,GPU_GEN:VLT,GPU_BRD:TESLA,GPU_SKU:V100_PCIE,GPU_MEM:32GB,GPU_CC:7.0","IB:EDR,CPU_MNF:INTEL,CPU_GEN:SKX,CPU_SKU:5118,CPU_FRQ:2.30GHz,GPU_GEN:VLT,GPU_BRD:TESLA,GPU_SKU:V100_PCIE,GPU_MEM:32GB,GPU_CC:7.0",gpu:4(S:0),sh02-16n05,sh02-16n05,25.11.5,Linux,191000,172032,103192,2,1,MIXED,1,190000,143181,N/A,N/A,gpu,2026-01-27T16:52:15,2026-04-30T09:13:14,2026-02-04T16:11:46,None,"cpu=24,mem=191000M,billing=130,gres/gpu=4","cpu=22,mem=168G,gres/gpu=4",606,305,EDR,INTEL,SKX,5118,2.30GHz,,VLT,TESLA,V100_PCIE,32GB,7.0
22,sh03-12n[01-16],32,256000,"IB:HDR,CPU_MNF:AMD,CPU_GEN:RME,CPU_SKU:7502P,CPU_FRQ:2.50GHz,GPU_GEN:TUR,GPU_BRD:GEFORCE,GPU_SKU:RTX",gpu,16,512.0,250.0,7.81,sh03-12n01,sh03-12n01,x86_64,cores,16,14,32,32,2.91,"IB:HDR,CPU_MNF:AMD,CPU_GEN:RME,CPU_SKU:7502P,CPU_FRQ:2.50GHz,GPU_GEN:TUR,GPU_BRD:GEFORCE,GPU_SKU:RTX_2080Ti,GPU_MEM:11GB,GPU_CC:7.5,CLASS:SH3_G4FP32","IB:HDR,CPU_MNF:AMD,CPU_GEN:RME,CPU_SKU:7502P,CPU_FRQ:2.50GHz,GPU_GEN:TUR,GPU_BRD:GEFORCE,GPU_SKU:RTX_2080Ti,GPU_MEM:11GB,GPU_CC:7.5,CLASS:SH3_G4FP32",gpu:4(S:0-1),sh03-12n01,sh03-12n01,25.11.5,Linux,256000,113752,233690,2,1,MIXED,1,3600000,144371,N/A,N/A,gpu,2026-05-04T14:18:31,2026-05-04T14:24:28,2026-05-04T14:24:13,None,"cpu=32,mem=250G,billing=154,gres/gpu=4","cpu=14,mem=113752M,gres/gpu=4",1289,938,HDR,AMD,RME,7502P,2.50GHz,SH3_G4FP32,TUR,GEFORCE,RTX_2080Ti,11GB,7.5
23,"sh03-15n[01-03,05]",32,256000,"IB:HDR,CPU_MNF:AMD,CPU_GEN:RME,CPU_SKU:7502P,CPU_FRQ:2.50GHz,GPU_GEN:AMP,GPU_BRD:GEFORCE,GPU_SKU:RTX",gpu,4,128.0,250.0,7.81,sh03-15n01,sh03-15n01,x86_64,cores,16,25,32,32,4.35,"IB:HDR,CPU_MNF:AMD,CPU_GEN:RME,CPU_SKU:7502P,CPU_FRQ:2.50GHz,GPU_GEN:AMP,GPU_BRD:GEFORCE,GPU_SKU:RTX_3090,GPU_MEM:24GB,GPU_CC:8.6,CLASS:SH3_G4FP32.1","IB:HDR,CPU_MNF:AMD,CPU_GEN:RME,CPU_SKU:7502P,CPU_FRQ:2.50GHz,GPU_GEN:AMP,GPU_BRD:GEFORCE,GPU_SKU:RTX_3090,GPU_MEM:24GB,GPU_CC:8.6,CLASS:SH3_G4FP32.1",gpu:4(S:0-1),sh03-15n01,sh03-15n01,25.11.5,Linux,256000,229376,106315,2,1,MIXED,1,3600000,144371,N/A,N/A,gpu,2026-01-27T16:37:51,2026-04-30T09:13:15,2026-03-31T16:00:29,None,"cpu=32,mem=250G,billing=154,gres/gpu=4","cpu=25,mem=224G,gres/gpu=4",771,712,HDR,AMD,RME,7502P,2.50GHz,SH3_G4FP32.1,AMP,GEFORCE,RTX_3090,24GB,8.6
24,"sh04-01n[09-12],sh04-07n[11-12],sh04-11n[09-10]",32,256000,"IB:NDR,CPU_MNF:INTEL,CPU_GEN:SPR,CPU_SKU:6426Y,CPU_FRQ:2.50GHz,GPU_GEN:LOV,GPU_BRD:TESLA,GPU_SKU:L40",gpu,8,256.0,250.0,7.81,sh04-01n09,sh04-01n09,x86_64,cores,8,26,32,32,17.33,"IB:NDR,CPU_MNF:INTEL,CPU_GEN:SPR,CPU_SKU:6426Y,CPU_FRQ:2.50GHz,GPU_GEN:LOV,GPU_BRD:TESLA,GPU_SKU:L40S,GPU_MEM:48GB,GPU_CC:8.9,CLASS:SH4_G4FP32","IB:NDR,CPU_MNF:INTEL,CPU_GEN:SPR,CPU_SKU:6426Y,CPU_FRQ:2.50GHz,GPU_GEN:LOV,GPU_BRD:TESLA,GPU_SKU:L40S,GPU_MEM:48GB,GPU_CC:8.9,CLASS:SH4_G4FP32",gpu:4(S:0-3),sh04-01n09,sh04-01n09,25.11.5,Linux,256000,129200,228451,4,1,MIXED,1,7000000,144351,N/A,N/A,gpu,2026-05-04T14:40:17,2026-05-04T14:44:10,2026-05-04T15:19:06,None,"cpu=32,mem=250G,billing=154,gres/gpu=4","cpu=26,mem=129200M,gres/gpu=4",1235,897,NDR,INTEL,SPR,6426Y,2.50GHz,SH4_G4FP32,LOV,TESLA,L40S,48GB,8.9
25,"sh04-01n[05,07]",64,1024000,"IB:NDR,CPU_MNF:INTEL,CPU_GEN:SPR,CPU_SKU:8462Y+,CPU_FRQ:2.80GHz,GPU_GEN:HPR,GPU_BRD:TESLA,GPU_SKU:H1",gpu,2,128.0,1000.0,15.62,sh04-01n05,sh04-01n05,x86_64,cores,16,64,64,64,2.02,"IB:NDR,CPU_MNF:INTEL,CPU_GEN:SPR,CPU_SKU:8462Y+,CPU_FRQ:2.80GHz,GPU_GEN:HPR,GPU_BRD:TESLA,GPU_SKU:H100_SXM5,GPU_MEM:80GB,GPU_CC:9.0,CLASS:SH4_G4TF64","IB:NDR,CPU_MNF:INTEL,CPU_GEN:SPR,CPU_SKU:8462Y+,CPU_FRQ:2.80GHz,GPU_GEN:HPR,GPU_BRD:TESLA,GPU_SKU:H100_SXM5,GPU_MEM:80GB,GPU_CC:9.0,CLASS:SH4_G4TF64",gpu:4(S:0-3),sh04-01n05,sh04-01n05,25.11.5,Linux,1024000,532480,906987,4,1,ALLOCATED,1,14000000,147751,N/A,N/A,gpu,2026-05-02T18:12:59,2026-05-02T18:17:23,2026-05-02T18:17:09,None,"cpu=64,mem=1000G,billing=374,gres/gpu=4","cpu=64,mem=520G,gres/gpu=4",1582,999,NDR,INTEL,SPR,8462Y+,2.80GHz,SH4_G4TF64,HPR,TESLA,H100_SXM5,80GB,9.0
26,"sh02-02n[10,37-40]",20,128000,"IB:EDR,CPU_MNF:INTEL,CPU_GEN:BDW,CPU_SKU:E5-2640v4,CPU_FRQ:2.40GHz,NO_GPU",service,5,100.0,125.0,6.25,sh02-02n10,sh02-02n10,x86_64,cores,10,16,20,20,0.01,"IB:EDR,CPU_MNF:INTEL,CPU_GEN:BDW,CPU_SKU:E5-2640v4,CPU_FRQ:2.40GHz,NO_GPU","IB:EDR,CPU_MNF:INTEL,CPU_GEN:BDW,CPU_SKU:E5-2640v4,CPU_FRQ:2.40GHz,NO_GPU",(null),sh02-02n10,sh02-02n10,25.11.5,Linux,128000,16384,19893,2,1,MIXED,1,120000,102091,N/A,N/A,service,2026-01-27T16:11:39,2026-04-30T09:13:14,2026-05-04T05:04:00,None,"cpu=20,mem=125G,billing=51","cpu=16,mem=16G",55,49,EDR,INTEL,BDW,E5-2640v4,2.40GHz,,,,,,
27,sh03-02n16,32,256000,"IB:HDR,CPU_MNF:AMD,CPU_GEN:RME,CPU_SKU:7502,CPU_FRQ:2.50GHz,NO_GPU,CLASS:SH3_CBASE",service,1,32.0,250.0,7.81,sh03-02n16,sh03-02n16,x86_64,cores,16,0,32,32,0.01,"IB:HDR,CPU_MNF:AMD,CPU_GEN:RME,CPU_SKU:7502,CPU_FRQ:2.50GHz,NO_GPU,CLASS:SH3_CBASE","IB:HDR,CPU_MNF:AMD,CPU_GEN:RME,CPU_SKU:7502,CPU_FRQ:2.50GHz,NO_GPU,CLASS:SH3_CBASE",(null),sh03-02n16,sh03-02n16,25.11.5,Linux,256000,0,252832,2,1,IDLE,1,1900000,104371,N/A,N/A,service,2026-01-27T16:12:46,2026-04-30T09:13:14,2026-04-30T09:13:14,None,"cpu=32,mem=250G,billing=94",,113,101,HDR,AMD,RME,7502,2.50GHz,SH3_CBASE,,,,,
28,"sh03-08n[49-72],sh03-09n[01-72]",32,256000,"IB:HDR,CPU_MNF:AMD,CPU_GEN:MLN,CPU_SKU:7543,CPU_FRQ:2.75GHz,NO_GPU,CLASS:SH3_CBASE.1",serc,96,3072.0,250.0,7.81,sh03-08n49,sh03-08n49,x86_64,cores,16,12,32,32,11.00,"IB:HDR,CPU_MNF:AMD,CPU_GEN:MLN,CPU_SKU:7543,CPU_FRQ:2.75GHz,NO_GPU,CLASS:SH3_CBASE.1","IB:HDR,CPU_MNF:AMD,CPU_GEN:MLN,CPU_SKU:7543,CPU_FRQ:2.75GHz,NO_GPU,CLASS:SH3_CBASE.1",(null),sh03-08n49,sh03-08n49,25.11.5,Linux,256000,147072,86042,2,1,MIXED+PLANNED,1,3000000,104361,N/A,N/A,"serc,owners",2026-04-01T22:22:17,2026-04-30T09:13:14,2026-04-23T09:10:40,None,"cpu=32,mem=250G,billing=94","cpu=12,mem=147072M",187,170,HDR,AMD,MLN,7543,2.75GHz,SH3_CBASE.1,,,,,
29,"sh03-17n[01,03,05,07]",128,1024000,"IB:HDR,CPU_MNF:AMD,CPU_GEN:MLN,CPU_SKU:7763,CPU_FRQ:2.45GHz,GPU_GEN:AMP,GPU_BRD:TESLA,GPU_SKU:A100_S",serc,4,512.0,1000.0,7.81,sh03-17n01,sh03-17n01,x86_64,cores,32,48,128,128,3.24,"IB:HDR,CPU_MNF:AMD,CPU_GEN:MLN,CPU_SKU:7763,CPU_FRQ:2.45GHz,GPU_GEN:AMP,GPU_BRD:TESLA,GPU_SKU:A100_SXM4,GPU_MEM:80GB,GPU_CC:8.0,CLASS:SH3_G8TF64.1","IB:HDR,CPU_MNF:AMD,CPU_GEN:MLN,CPU_SKU:7763,CPU_FRQ:2.45GHz,GPU_GEN:AMP,GPU_BRD:TESLA,GPU_SKU:A100_SXM4,GPU_MEM:80GB,GPU_CC:8.0,CLASS:SH3_G8TF64.1",gpu:8(S:0-3),sh03-17n01,sh03-17n01,25.11.5,Linux,1024000,995328,883182,4,1,MIXED+PLANNED,1,3600000,167861,N/A,N/A,"serc,owners",2026-03-31T13:31:20,2026-04-30T09:13:16,2026-03-31T13:36:07,None,"cpu=128,mem=1000G,billing=498,gres/gpu=8","cpu=48,mem=972G,gres/gpu=6",1587,1578,HDR,AMD,MLN,7763,2.45GHz,SH3_G8TF64.1,AMP,TESLA,A100_SXM4,80GB,8.0
30,"sh03-18n[11,16]",64,512000,"IB:HDR,CPU_MNF:AMD,CPU_GEN:MLN,CPU_SKU:7543,CPU_FRQ:2.75GHz,GPU_GEN:AMP,GPU_BRD:TESLA,GPU_SKU:A100_S",serc,2,128.0,500.0,7.81,sh03-18n11,sh03-18n11,x86_64,cores,16,54,64,64,18.79,"IB:HDR,CPU_MNF:AMD,CPU_GEN:MLN,CPU_SKU:7543,CPU_FRQ:2.75GHz,GPU_GEN:AMP,GPU_BRD:TESLA,GPU_SKU:A100_SXM4,GPU_MEM:80GB,GPU_CC:8.0,CLASS:SH3_G4TF64.1","IB:HDR,CPU_MNF:AMD,CPU_GEN:MLN,CPU_SKU:7543,CPU_FRQ:2.75GHz,GPU_GEN:AMP,GPU_BRD:TESLA,GPU_SKU:A100_SXM4,GPU_MEM:80GB,GPU_CC:8.0,CLASS:SH3_G4TF64.1",gpu:4(S:0-3),sh03-18n11,sh03-18n11,25.11.5,Linux,512000,302528,344248,4,1,MIXED+PLANNED,1,3000000,146761,N/A,N/A,"serc,owners",2026-01-27T16:41:02,2026-04-30T09:13:15,2026-04-07T21:23:22,None,"cpu=64,mem=500G,billing=249,gres/gpu=4","cpu=54,mem=302528M,gres/gpu=4",1092,743,HDR,AMD,MLN,7543,2.75GHz,SH3_G4TF64.1,AMP,TESLA,A100_SXM4,80GB,8.0
31,sh04-09n01,64,2048000,"IB:NDR,CPU_MNF:INTEL,CPU_GEN:SPR,CPU_SKU:8462Y+,CPU_FRQ:2.80GHz,GPU_GEN:HPR,GPU_BRD:TESLA,GPU_SKU:H1",serc,1,64.0,2000.0,31.25,sh04-09n01,sh04-09n01,x86_64,cores,16,62,64,64,48.86,"IB:NDR,CPU_MNF:INTEL,CPU_GEN:SPR,CPU_SKU:8462Y+,CPU_FRQ:2.80GHz,GPU_GEN:HPR,GPU_BRD:TESLA,GPU_SKU:H100_SXM5,GPU_MEM:80GB,GPU_CC:9.0,CLASS:SH4_G8TF64","IB:NDR,CPU_MNF:INTEL,CPU_GEN:SPR,CPU_SKU:8462Y+,CPU_FRQ:2.80GHz,GPU_GEN:HPR,GPU_BRD:TESLA,GPU_SKU:H100_SXM5,GPU_MEM:80GB,GPU_CC:9.0,CLASS:SH4_G8TF64",gpu:8(S:0-3),sh04-09n01,sh04-09n01,25.11.5,Linux,2048000,1273568,946774,4,1,MIXED+PLANNED,1,28000000,168751,N/A,N/A,"serc,owners",2026-01-28T08:29:10,2026-04-30T09:13:16,2026-03-16T08:21:32,None,"cpu=64,mem=2000G,billing=684,gres/gpu=8","cpu=62,mem=1273568M,gres/gpu=8",3402,382,NDR,INTEL,SPR,8462Y+,2.80GHz,SH4_G8TF64,HPR,TESLA,H100_SXM5,80GB,9.0
32,"sh03-14n[03,05,07,09,11,13]",128,1024000,"IB:HDR,CPU_MNF:AMD,CPU_GEN:RME,CPU_SKU:7662,CPU_FRQ:2.00GHz,GPU_GEN:AMP,GPU_BRD:TESLA,GPU_SKU:A100_S",serc,6,768.0,1000.0,7.81,sh03-14n03,sh03-14n03,x86_64,cores,32,60,128,128,45.35,"IB:HDR,CPU_MNF:AMD,CPU_GEN:RME,CPU_SKU:7662,CPU_FRQ:2.00GHz,GPU_GEN:AMP,GPU_BRD:TESLA,GPU_SKU:A100_SXM4,GPU_MEM:40GB,GPU_CC:8.0,CLASS:SH3_G8TF64","IB:HDR,CPU_MNF:AMD,CPU_GEN:RME,CPU_SKU:7662,CPU_FRQ:2.00GHz,GPU_GEN:AMP,GPU_BRD:TESLA,GPU_SKU:A100_SXM4,GPU_MEM:40GB,GPU_CC:8.0,CLASS:SH3_G8TF64",gpu:8(S:0-3),sh03-14n03,sh03-14n03,25.11.5,Linux,1024000,1015808,792762,4,1,MIXED,1,3600000,167871,N/A,N/A,"serc,owners",2026-03-31T15:30:01,2026-04-30T09:13:16,2026-04-21T13:40:15,None,"cpu=128,mem=1000G,billing=498,gres/gpu=8","cpu=60,mem=992G,gres/gpu=8",1209,911,HDR,AMD,RME,7662,2.00GHz,SH3_G8TF64,AMP,TESLA,A100_SXM4,40GB,8.0
33,sh03-14n[17-24],128,1024000,"IB:HDR,CPU_MNF:AMD,CPU_GEN:RME,CPU_SKU:7742,CPU_FRQ:2.25GHz,NO_GPU,CLASS:SH3_CPERF",serc,8,1024.0,1000.0,7.81,sh03-14n17,sh03-14n17,x86_64,cores,32,127,128,128,59.85,"IB:HDR,CPU_MNF:AMD,CPU_GEN:RME,CPU_SKU:7742,CPU_FRQ:2.25GHz,NO_GPU,CLASS:SH3_CPERF","IB:HDR,CPU_MNF:AMD,CPU_GEN:RME,CPU_SKU:7742,CPU_FRQ:2.25GHz,NO_GPU,CLASS:SH3_CPERF",(null),sh03-14n17,sh03-14n17,25.11.5,Linux,1024000,1012064,832780,4,1,MIXED,1,3000000,107871,N/A,N/A,"serc,owners",2026-01-27T16:13:47,2026-04-30T09:13:15,2026-03-09T16:05:14,None,"cpu=128,mem=1000G,billing=378","cpu=127,mem=1012064M",483,389,HDR,AMD,RME,7742,2.25GHz,SH3_CPERF,,,,,
34,"sh04-03n[14-15],sh04-04n[14-15],sh04-05n[14-15],sh04-06n[14-15],sh04-07n[14-15],sh04-08n[14-15],sh04",64,384000,"IB:NDR,CPU_MNF:AMD,CPU_GEN:GEN,CPU_SKU:9384X,CPU_FRQ:3.10GHz,NO_GPU,CLASS:SH4_CPERF",serc,13,832.0,375.0,5.86,sh04-03n14,sh04-03n14,x86_64,cores,16,63,64,64,36.66,"IB:NDR,CPU_MNF:AMD,CPU_GEN:GEN,CPU_SKU:9384X,CPU_FRQ:3.10GHz,NO_GPU,CLASS:SH4_CPERF","IB:NDR,CPU_MNF:AMD,CPU_GEN:GEN,CPU_SKU:9384X,CPU_FRQ:3.10GHz,NO_GPU,CLASS:SH4_CPERF",(null),sh04-03n14,sh04-03n14,25.11.5,Linux,384000,378880,249270,4,1,MIXED,1,3500000,105741,N/A,N/A,"serc,owners",2026-04-20T18:11:27,2026-04-30T09:13:15,2026-04-27T11:40:06,None,"cpu=64,mem=375G,billing=157","cpu=63,mem=370G",723,391,NDR,AMD,GEN,9384X,3.10GHz,SH4_CPERF,,,,,
35,"sh04-06n13,sh04-07n13,sh04-08n13,sh04-09n13",256,1536000,"IB:NDR,CPU_MNF:AMD,CPU_GEN:BGM,CPU_SKU:9754,CPU_FRQ:2.25GHz,NO_GPU,CLASS:SH4_CSCALE",serc,4,1024.0,1500.0,5.86,sh04-06n13,sh04-06n13,x86_64,cores,64,98,256,256,46.94,"IB:NDR,CPU_MNF:AMD,CPU_GEN:BGM,CPU_SKU:9754,CPU_FRQ:2.25GHz,NO_GPU,CLASS:SH4_CSCALE","IB:NDR,CPU_MNF:AMD,CPU_GEN:BGM,CPU_SKU:9754,CPU_FRQ:2.25GHz,NO_GPU,CLASS:SH4_CSCALE",(null),sh04-06n13,sh04-06n13,25.11.5,Linux,1536000,1521664,1171727,4,1,MIXED,1,7000000,107941,N/A,N/A,"serc,owners",2026-01-27T17:15:44,2026-04-30T09:13:15,2026-03-02T11:26:04,None,"cpu=256,mem=1500G,billing=631","cpu=98,mem=1486G",718,465,NDR,AMD,BGM,9754,2.25GHz,SH4_CSCALE,,,,,
36,sh02-10n[61-72],24,384000,"IB:EDR,CPU_MNF:INTEL,CPU_GEN:SKX,CPU_SKU:5118,CPU_FRQ:2.30GHz,NO_GPU",serc,12,288.0,375.0,15.62,sh02-10n61,sh02-10n61,x86_64,cores,12,24,24,24,22.61,"IB:EDR,CPU_MNF:INTEL,CPU_GEN:SKX,CPU_SKU:5118,CPU_FRQ:2.30GHz,NO_GPU","IB:EDR,CPU_MNF:INTEL,CPU_GEN:SKX,CPU_SKU:5118,CPU_FRQ:2.30GHz,NO_GPU",(null),sh02-10n61,sh02-10n61,25.11.5,Linux,384000,272384,327547,2,1,ALLOCATED,1,190000,105181,N/A,N/A,"serc,owners",2026-02-16T20:47:56,2026-04-30T09:13:14,2026-04-26T18:07:27,None,"cpu=24,mem=375G,billing=117","cpu=24,mem=266G",214,130,EDR,INTEL,SKX,5118,2.30GHz,,,,,,
37,sh02-16n[08-09],24,191000,"IB:EDR,CPU_MNF:INTEL,CPU_GEN:SKX,CPU_SKU:5118,CPU_FRQ:2.30GHz,GPU_GEN:VLT,GPU_BRD:TESLA,GPU_SKU:V100",serc,2,48.0,186.5,7.77,sh02-16n08,sh02-16n08,x86_64,cores,12,24,24,24,13.10,"IB:EDR,CPU_MNF:INTEL,CPU_GEN:SKX,CPU_SKU:5118,CPU_FRQ:2.30GHz,GPU_GEN:VLT,GPU_BRD:TESLA,GPU_SKU:V100_PCIE,GPU_MEM:32GB,GPU_CC:7.0","IB:EDR,CPU_MNF:INTEL,CPU_GEN:SKX,CPU_SKU:5118,CPU_FRQ:2.30GHz,GPU_GEN:VLT,GPU_BRD:TESLA,GPU_SKU:V100_PCIE,GPU_MEM:32GB,GPU_CC:7.0",gpu:4(S:0),sh02-16n08,sh02-16n08,25.11.5,Linux,191000,167936,101784,2,1,ALLOCATED,1,190000,143181,N/A,N/A,"serc,owners",2026-04-12T04:44:43,2026-04-30T09:13:14,2026-04-21T04:54:38,None,"cpu=24,mem=191000M,billing=130,gres/gpu=4","cpu=24,mem=164G,gres/gpu=3",407,364,EDR,INTEL,SKX,5118,2.30GHz,,VLT,TESLA,V100_PCIE,32GB,7.0
38,sh02-16n[08-09],24,191000,"IB:EDR,CPU_MNF:INTEL,CPU_GEN:SKX,CPU_SKU:5118,CPU_FRQ:2.30GHz,GPU_GEN:VLT,GPU_BRD:TESLA,GPU_SKU:V100",serc,2,48.0,186.5,7.77,sh02-16n08,sh02-16n08,x86_64,cores,12,24,24,24,13.10,"IB:EDR,CPU_MNF:INTEL,CPU_GEN:SKX,CPU_SKU:5118,CPU_FRQ:2.30GHz,GPU_GEN:VLT,GPU_BRD:TESLA,GPU_SKU:V100_PCIE,GPU_MEM:32GB,GPU_CC:7.0","IB:EDR,CPU_MNF:INTEL,CPU_GEN:SKX,CPU_SKU:5118,CPU_FRQ:2.30GHz,GPU_GEN:VLT,GPU_BRD:TESLA,GPU_SKU:V100_PCIE,GPU_MEM:32GB,GPU_CC:7.0",gpu:4(S:0),sh02-16n08,sh02-16n08,25.11.5,Linux,191000,167936,101784,2,1,ALLOCATED,1,190000,143181,N/A,N/A,"serc,owners",2026-04-12T04:44:43,2026-04-30T09:13:14,2026-04-21T04:54:38,None,"cpu=24,mem=191000M,billing=130,gres/gpu=4","cpu=24,mem=164G,gres/gpu=3",407,364,EDR,INTEL,SKX,5118,2.30GHz,,VLT,TESLA,V100_PCIE,32GB,7.0
39,"sh03-04n[41-72],sh03-05n[01-72]",32,256000,"IB:HDR,CPU_MNF:AMD,CPU_GEN:RME,CPU_SKU:7502,CPU_FRQ:2.50GHz,NO_GPU,CLASS:SH3_CBASE",serc,104,3328.0,250.0,7.81,sh03-04n41,sh03-04n41,x86_64,cores,16,32,32,32,22.93,"IB:HDR,CPU_MNF:AMD,CPU_GEN:RME,CPU_SKU:7502,CPU_FRQ:2.50GHz,NO_GPU,CLASS:SH3_CBASE","IB:HDR,CPU_MNF:AMD,CPU_GEN:RME,CPU_SKU:7502,CPU_FRQ:2.50GHz,NO_GPU,CLASS:SH3_CBASE",(null),sh03-04n41,sh03-04n41,25.11.5,Linux,256000,216304,187503,2,1,ALLOCATED,1,1900000,104371,N/A,N/A,"serc,owners",2026-02-16T00:56:50,2026-04-30T09:13:14,2026-04-25T23:12:41,None,"cpu=32,mem=250G,billing=94","cpu=32,mem=216304M",231,118,HDR,AMD,RME,7502,2.50GHz,SH3_CBASE,,,,,
40,"sh04-05n[17-32],sh04-06n[17-32],sh04-07n[17-32],sh04-08n[17-32],sh04-09n[17-32],sh04-10n[17-32],sh04",24,192000,"IB:NDR,CPU_MNF:AMD,CPU_GEN:SIE,CPU_SKU:8224P,CPU_FRQ:2.55GHz,NO_GPU,CLASS:SH4_CBASE",serc,97,2328.0,187.5,7.81,sh04-05n17,sh04-05n17,x86_64,cores,24,24,24,24,14.84,"IB:NDR,CPU_MNF:AMD,CPU_GEN:SIE,CPU_SKU:8224P,CPU_FRQ:2.55GHz,NO_GPU,CLASS:SH4_CBASE","IB:NDR,CPU_MNF:AMD,CPU_GEN:SIE,CPU_SKU:8224P,CPU_FRQ:2.55GHz,NO_GPU,CLASS:SH4_CBASE",(null),sh04-05n17,sh04-05n17,25.11.5,Linux,192000,103680,101524,1,1,ALLOCATED,1,3500000,103141,N/A,N/A,"serc,owners",2026-02-16T10:10:46,2026-04-30T09:13:15,2026-04-22T07:57:01,None,"cpu=24,mem=187.50G,billing=70","cpu=24,mem=103680M",160,146,NDR,AMD,SIE,8224P,2.55GHz,SH4_CBASE,,,,,
41,sh02-13n08,20,256000,"IB:EDR,CPU_MNF:INTEL,CPU_GEN:BDW,CPU_SKU:E5-2640v4,CPU_FRQ:2.40GHz,GPU_GEN:PSC,GPU_BRD:TESLA,GPU_SKU",owners,1,20.0,250.0,12.5,sh02-13n08,sh02-13n08,x86_64,cores,10,18,20,20,2.06,"IB:EDR,CPU_MNF:INTEL,CPU_GEN:BDW,CPU_SKU:E5-2640v4,CPU_FRQ:2.40GHz,GPU_GEN:PSC,GPU_BRD:TESLA,GPU_SKU:P40,GPU_MEM:24GB,GPU_CC:6.1","IB:EDR,CPU_MNF:INTEL,CPU_GEN:BDW,CPU_SKU:E5-2640v4,CPU_FRQ:2.40GHz,GPU_GEN:PSC,GPU_BRD:TESLA,GPU_SKU:P40,GPU_MEM:24GB,GPU_CC:6.1",gpu:4(S:0-1),sh02-13n08,sh02-13n08,25.11.5,Linux,256000,106496,144072,2,1,MIXED+PLANNED,1,160000,144091,N/A,N/A,owners,2026-04-08T17:35:58,2026-04-30T09:13:14,2026-05-03T05:08:39,None,"cpu=20,mem=250G,billing=142,gres/gpu=4","cpu=18,mem=104G,gres/gpu=2",445,260,EDR,INTEL,BDW,E5-2640v4,2.40GHz,,PSC,TESLA,P40,24GB,6.1
