,NODE(Example),CLASS,PARTITION,Partitions,CPUS,TOTAL_NODES,TOTAL_CPUS,MEMORY[GB/node],MEMORY[GB/cpu],CPU_MNF,CPU_GEN,CPU_SKU,CPU_FRQ,GPU_SKU,GPU_MEM
45,sh02-12n03,,owners,owners,32,2,64.0,500.0,15.62,INTEL,BDW,E5-2697Av4,2.60GHz,,
46,sh02-13n05,,owners,owners,20,2,40.0,500.0,25.0,INTEL,BDW,E5-2640v4,2.40GHz,TITAN_V,12GB
47,sh02-14n11,,owners,owners,20,3,60.0,250.0,12.5,INTEL,BDW,E5-2640v4,2.40GHz,V100_SXM2,16GB
48,sh02-16n01,,owners,owners,24,1,24.0,750.0,31.25,INTEL,SKX,5118,2.30GHz,V100_SXM2,32GB
49,sh02-16n07,,owners,owners,36,2,72.0,750.0,20.83,INTEL,SKX,6150,2.70GHz,,
50,sh03-11n01,SH3_G4TF64.1,owners,owners,64,13,832.0,500.0,7.81,AMD,MLN,7543,2.75GHz,A100_SXM4,80GB
51,sh03-11n02,SH3_G4FP32.2,owners,owners,32,22,704.0,250.0,7.81,AMD,MLN,7543P,2.75GHz,A40,48GB
52,sh03-13n03,SH3_G4FP32,owners,owners,32,13,416.0,250.0,7.81,AMD,RME,7502P,2.50GHz,RTX_2080Ti,11GB
53,sh03-13n10,SH3_G4FP64,owners,owners,32,2,64.0,250.0,7.81,AMD,RME,7502P,2.50GHz,V100S_PCIE,32GB
54,sh03-13n16,SH3_G4FP64.1,owners,owners,32,4,128.0,250.0,7.81,AMD,RME,7502P,2.50GHz,A100_PCIE,40GB
55,sh03-14n03,SH3_G8TF64,owners,"serc,owners",128,7,896.0,1000.0,7.81,AMD,RME,7662,2.00GHz,A100_SXM4,40GB
56,sh03-15n06,SH3_G4FP32.1,owners,owners,32,10,320.0,250.0,7.81,AMD,RME,7502P,2.50GHz,RTX_3090,24GB
57,sh04-02n05,SH4_G4TF64,owners,owners,64,12,768.0,1000.0,15.62,INTEL,SPR,8462Y+,2.80GHz,H100_SXM5,80GB
58,sh04-02n09,SH4_G4FP32,owners,owners,32,23,736.0,250.0,7.81,INTEL,SPR,6426Y,2.50GHz,L40S,48GB
59,sh04-02n13,SH4_CSCALE,owners,owners,256,10,2560.0,1500.0,5.86,AMD,BGM,9754,2.25GHz,,
60,sh04-02n14,SH4_CPERF,owners,owners,64,17,1088.0,375.0,5.86,AMD,GEN,9384X,3.10GHz,,
61,sh04-02n16,SH4_CBIGMEM,owners,owners,64,1,64.0,4000.0,62.5,INTEL,SPR,8462Y+,2.80GHz,,
62,sh04-02n17,SH4_CBASE,owners,owners,24,97,2328.0,187.5,7.81,AMD,SIE,8224P,2.55GHz,,
63,sh02-01n61,,owners,owners,20,137,2740.0,125.0,6.25,INTEL,BDW,E5-2640v4,2.40GHz,,
64,sh02-03n37,,owners,owners,24,199,4776.0,186.5,7.77,INTEL,SKX,5118,2.30GHz,,
65,sh02-12n06,,owners,owners,20,4,80.0,250.0,12.5,INTEL,BDW,E5-2640v4,2.40GHz,P100_PCIE,16GB
66,sh02-12n09,,owners,owners,20,22,440.0,125.0,6.25,INTEL,BDW,E5-2640v4,2.40GHz,TITAN_Xp,12GB
67,sh02-15n10,,owners,owners,20,3,60.0,250.0,12.5,INTEL,BDW,E5-2640v4,2.40GHz,TITAN_V,12GB
68,sh02-15n12,,owners,owners,64,3,192.0,3000.0,46.88,INTEL,SKX,6130,2.10GHz,,
69,sh02-16n08,,owners,"serc,owners",24,2,48.0,186.5,7.77,INTEL,SKX,5118,2.30GHz,V100_PCIE,32GB
70,sh02-16n08,,owners,"serc,owners",24,2,48.0,186.5,7.77,INTEL,SKX,5118,2.30GHz,V100_PCIE,32GB
71,sh03-02n01,SH3_CBASE,owners,owners,32,358,11456.0,250.0,7.81,AMD,RME,7502,2.50GHz,,
72,sh03-11n17,SH3_CPERF.1,owners,owners,128,20,2560.0,1000.0,7.81,AMD,MLN,7763,2.45GHz,,
73,sh03-11n24,SH3_CBIGMEM.1,owners,owners,64,4,256.0,4000.0,62.5,AMD,MLN,7543,2.75GHz,,
74,sh03-12n20,SH3_CPERF,owners,owners,128,36,4608.0,1000.0,7.81,AMD,RME,7742,2.25GHz,,
75,sh03-13n17,SH3_CBIGMEM,owners,owners,64,1,64.0,4000.0,62.5,AMD,RME,7502,2.50GHz,,
76,sh04-02n01,SH4_G8TF64,owners,owners,64,10,640.0,2000.0,31.25,INTEL,SPR,8462Y+,2.80GHz,H100_SXM5,80GB
77,sh04-08n05,SH4_G8TF64.1,owners,owners,64,11,704.0,2000.0,31.25,INTEL,SPR,8462Y+,2.80GHz,H200_SXM5,141GB
